,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 1 Ridge,0.5359917893014045,0.5580664171880212,1027.3150824250522,1352.320341319419,5.9570967830446735
Dataset 1 Ridge with Standardized Features,0.45266204418241107,0.4988968398511542,1098.837273284478,1468.7386746692116,6.336686812115447
Dataset 1 Lasso,0.45539064737851476,0.4635218995700715,1043.0472990670955,1465.0731037071503,6.213469462978334
Dataset 1 Lasso with Standardized Features,0.46028899242634513,0.49966013694380296,1048.2070616480064,1458.4696152058702,6.121658707788333
Dataset 1 Elastic Net,0.45539064737851476,0.4635218995700715,1043.0472990670955,1465.0731037071503,6.213469462978334
Dataset 1 Elastic Net with Standardized Features,0.46028899242634513,0.49966013694380296,1048.2070616480064,1458.4696152058702,6.121658707788333
Dataset 1 Huber,0.4249353473227483,0.4366696762328095,833.1928832292601,1505.4803272308116,5.190911375264563
Dataset 1 Huber with Standardized Features,0.4048766835367875,0.4122926460353381,991.7351353467102,1531.5113892802817,5.895701024156062
Dataset 1 LinearSVR,0.45763043123350233,0.4762551217711295,1044.159982879463,1462.0573384811416,6.203470341678464
Dataset 1 LinearSVR with Standardized Features,0.4140150345581849,0.5088629260057969,1142.0448918308439,1519.7074224999708,6.569253356992477
Dataset 1 Ridge TimeSeriesSplit,0.45539064737851476,0.4635218995700715,1043.0472990670955,1465.0731037071503,6.213469462978334
Dataset 1 Ridge with Standardized Features TimeSeriesSplit,0.46028899242634513,0.49966013694380296,1048.2070616480064,1458.4696152058702,6.121658707788333
Dataset 1 Lasso TimeSeriesSplit,0.45539064737851476,0.4635218995700715,1043.0472990670955,1465.0731037071503,6.213469462978334
Dataset 1 Lasso with Standardized Features TimeSeriesSplit,0.46028899242634513,0.49966013694380296,1048.2070616480064,1458.4696152058702,6.121658707788333
Dataset 1 Elastic Net TimeSeriesSplit,0.4286377328441776,0.44156762610762035,832.1262966873127,1500.6262043356253,5.188499482356304
Dataset 1 Elastic Net with Standardized Features TimeSeriesSplit,0.4048766835367875,0.4122926460353381,991.7351353467102,1531.5113892802817,5.895701024156062
Dataset 1 Huber TimeSeriesSplit,0.4576304312335,0.47625512177112905,1044.1599828794701,1462.0573384811448,6.203470341678498
Dataset 1 Huber with Standardized Features TimeSeriesSplit,0.4522477658862888,0.4988893072294259,1098.6841412190006,1469.2944112631153,6.3356373644029285
Dataset 1 Subset 1 OLS,0.3411475275423229,0.4008396016098901,1277.9582484262432,1611.4277487162028,7.300247663653909
Dataset 1 Subset 1 OLS with Standardized Features,0.35124513642337696,0.397804833714554,1268.8924214071856,1599.0316547984835,7.265430858469996
Dataset 1 Subset 1 Ridge,0.3411478321199001,0.4008393596488763,1277.9574671633452,1611.427376246768,7.300243829428905
Dataset 1 Subset 1 Ridge with Standardized Features,0.19945918928689288,0.23284736569192943,1476.8099321704171,1776.2679766893748,8.629843566518474
Dataset 1 Subset 1 Lasso,0.07023021062615564,0.12228815642823876,1607.624273818622,1914.2755979392568,9.327148377621654
Dataset 1 Subset 1 Lasso with Standardized Features,0.38589326658608125,0.4279920119201066,1260.3266393285712,1555.7459443892988,7.3185883061339325
Dataset 1 Subset 1 Elastic Net,0.09034937797196851,0.14765401009239576,1601.5678208981521,1893.450946199068,9.284969408600105
Dataset 1 Subset 1 Elastic Net with Standardized Features,0.35770007714739505,0.3922816965493763,1299.4278184546176,1591.056795499417,7.606903838660315
Dataset 1 Subset 1 Huber,0.2639880687348898,0.30811458818912874,1156.6014063447076,1703.1746136715317,7.25227232331905
Dataset 1 Subset 1 Huber with Standardized Features,0.44125959656973124,0.44174985175382775,1094.5799111598983,1483.958604755059,6.482476916713782
Dataset 1 Subset 1 LinearSVR,0.13283186308184258,0.30819437190666554,1660.7849383566454,1848.708354326713,9.50540484797702
Dataset 1 Subset 1 LinearSVR with Standardized Features,0.3524168981683531,0.39940480071822904,1268.0244133588164,1597.58694043841,7.2606954520952645
Dataset 1 Subset 1 Ridge TimeSeriesSplit,0.07023021062615564,0.12228815642823876,1607.624273818622,1914.2755979392568,9.327148377621654
Dataset 1 Subset 1 Ridge with Standardized Features TimeSeriesSplit,0.38589326658608125,0.4279920119201066,1260.3266393285712,1555.7459443892988,7.3185883061339325
Dataset 1 Subset 1 Lasso TimeSeriesSplit,0.09034937797196851,0.14765401009239576,1601.5678208981521,1893.450946199068,9.284969408600105
Dataset 1 Subset 1 Lasso with Standardized Features TimeSeriesSplit,0.35770007714739505,0.3922816965493763,1299.4278184546176,1591.056795499417,7.606903838660315
Dataset 1 Subset 1 Elastic Net TimeSeriesSplit,0.2639952080712483,0.30811463112895776,1156.6081162552734,1703.1663532307596,7.252295832489258
Dataset 1 Subset 1 Elastic Net with Standardized Features TimeSeriesSplit,0.44125959656973124,0.44174985175382775,1094.5799111598983,1483.958604755059,6.482476916713782
Dataset 1 Subset 1 Huber TimeSeriesSplit,0.1328318630818488,0.30819437190666554,1660.7849383566372,1848.7083543267065,9.505404847976981
Dataset 1 Subset 1 Huber with Standardized Features TimeSeriesSplit,0.3524168981683531,0.39940480071822904,1268.0244133588164,1597.58694043841,7.2606954520952645
Dataset 1 Subset 2 OLS,0.5321344670942545,0.5536812587294082,1030.5911637723088,1357.929659302341,5.976544301803437
Dataset 1 Subset 2 OLS with Standardized Features,0.45329425678021373,0.4955900446738787,1092.661620508982,1467.8901830068041,6.308871705546515
Dataset 1 Subset 2 Ridge,0.5321344911224082,0.5536812847148769,1030.591133200384,1357.9296244327675,5.976544160947177
Dataset 1 Subset 2 Ridge with Standardized Features,0.4532662861051111,0.4955856950640489,1092.660816614548,1467.9277327808506,6.308855627080566
Dataset 1 Subset 2 Lasso,0.4522817509348367,0.45998511894190786,1048.173324770701,1469.248829690512,6.244955015068435
Dataset 1 Subset 2 Lasso with Standardized Features,0.4585852765224664,0.4971845580709989,1045.4163453563735,1460.769790637793,6.115706626994849
Dataset 1 Subset 2 Elastic Net,0.4522817509348367,0.45998511894190786,1048.173324770701,1469.248829690512,6.244955015068435
Dataset 1 Subset 2 Elastic Net with Standardized Features,0.4585852765224664,0.4971845580709989,1045.4163453563735,1460.769790637793,6.115706626994849
Dataset 1 Subset 2 Huber,0.42007922859035385,0.43353055212814784,833.5478183395413,1511.8234593125026,5.197148401027742
Dataset 1 Subset 2 Huber with Standardized Features,0.3949589174179726,0.4012081493902141,990.7412244574231,1544.2200255436314,5.8993071395752565
Dataset 1 Subset 2 LinearSVR,0.46081582078500904,0.4795249484548908,1047.5052920897426,1457.7576130973368,6.225374020137958
Dataset 1 Subset 2 LinearSVR with Standardized Features,0.41559533119357894,0.5068937673077325,1140.0211846756913,1517.6568495169233,6.563476851590119
Dataset 1 Subset 2 Ridge TimeSeriesSplit,0.4522817509348367,0.45998511894190786,1048.173324770701,1469.248829690512,6.244955015068435
Dataset 1 Subset 2 Ridge with Standardized Features TimeSeriesSplit,0.4585852765224664,0.4971845580709989,1045.4163453563735,1460.769790637793,6.115706626994849
Dataset 1 Subset 2 Lasso TimeSeriesSplit,0.4522817509348367,0.45998511894190786,1048.173324770701,1469.248829690512,6.244955015068435
Dataset 1 Subset 2 Lasso with Standardized Features TimeSeriesSplit,0.4585852765224664,0.4971845580709989,1045.4163453563735,1460.769790637793,6.115706626994849
Dataset 1 Subset 2 Elastic Net TimeSeriesSplit,0.42007922859035385,0.43353055212814784,833.5478183395413,1511.8234593125026,5.197148401027742
Dataset 1 Subset 2 Elastic Net with Standardized Features TimeSeriesSplit,0.3949589174179726,0.4012081493902141,990.7412244574231,1544.2200255436314,5.8993071395752565
Dataset 1 Subset 2 Huber TimeSeriesSplit,0.4608158207850094,0.47952494845489135,1047.5052920897438,1457.7576130973364,6.225374020137962
Dataset 1 Subset 2 Huber with Standardized Features TimeSeriesSplit,0.4532652944869402,0.4960355481851435,1092.4723403532932,1467.9290639802227,6.307714377514693
Dataset 2 Ridge,0.5584292221398699,0.5668558708031972,999.2045355135457,1329.9592253696335,5.841667122874668
Dataset 2 Ridge with Standardized Features,0.5449673439479974,0.5457473793229176,989.684422776712,1350.079822366688,5.80524561924482
Dataset 2 Lasso,0.47765436894718294,0.48591980990720307,1034.7492809628825,1446.4957004314563,6.199290678960628
Dataset 2 Lasso with Standardized Features,0.5382209899754729,0.539645182568206,975.227131165438,1360.0512000079987,5.773575840945245
Dataset 2 Elastic Net,0.4776909974426834,0.4860572106309431,1035.624102412066,1446.4449831601994,6.20389399489494
Dataset 2 Elastic Net with Standardized Features,0.5382209899754729,0.539645182568206,975.227131165438,1360.0512000079987,5.773575840945245
Dataset 2 Huber,0.42845745093953236,0.44389244828589436,852.0327270142917,1513.0819396754573,5.318643159877273
Dataset 2 Huber with Standardized Features,0.49788094119102055,0.5001375014281146,902.883632844451,1418.213179097943,5.438409228539052
Dataset 2 LinearSVR,0.4758697418497412,0.48708079905623636,1045.198096722287,1448.9646157452914,6.251383015588095
Dataset 2 LinearSVR with Standardized Features,0.548291215669215,0.5502536415423185,987.4973527504645,1345.1398284079403,5.784321306851427
Dataset 2 Ridge TimeSeriesSplit,0.47765436894718294,0.48591980990720307,1034.7492809628825,1446.4957004314563,6.199290678960628
Dataset 2 Ridge with Standardized Features TimeSeriesSplit,0.5382209899754729,0.539645182568206,975.227131165438,1360.0512000079987,5.773575840945245
Dataset 2 Lasso TimeSeriesSplit,0.4776909974426834,0.4860572106309431,1035.624102412066,1446.4449831601994,6.20389399489494
Dataset 2 Lasso with Standardized Features TimeSeriesSplit,0.5382209899754729,0.539645182568206,975.227131165438,1360.0512000079987,5.773575840945245
Dataset 2 Elastic Net TimeSeriesSplit,0.43163845923768374,0.44813148526879953,851.6194708280202,1508.8654189939457,5.3200620922493655
Dataset 2 Elastic Net with Standardized Features TimeSeriesSplit,0.49788094119102055,0.5001375014281146,902.883632844451,1418.213179097943,5.438409228539052
Dataset 2 Huber TimeSeriesSplit,0.4758697418497412,0.48708079905623636,1045.198096722287,1448.9646157452914,6.251383015588095
Dataset 2 Huber with Standardized Features TimeSeriesSplit,0.548291215669215,0.5502536415423185,987.4973527504645,1345.1398284079403,5.784321306851427
Dataset 2 Subset 1 OLS,0.385994870258768,0.40877033140938646,1208.8888975647178,1568.282020537551,6.99628118037802
Dataset 2 Subset 1 OLS with Standardized Features,-1.1933431902704646e+19,-1.1433382468418718e+19,1415287380508.326,6913864174197.749,8366631943.876262
Dataset 2 Subset 1 Ridge,0.3859949919327361,0.40877048649904135,1208.8887711907093,1568.2818651486978,6.996280487750571
Dataset 2 Subset 1 Ridge with Standardized Features,0.40553324067172225,0.40618216688920805,1175.8099891316556,1543.1279994644715,6.907945466293495
Dataset 2 Subset 1 Lasso,0.2445459187122767,0.3002036857162734,1498.8473933953496,1739.571162882935,8.770418469377912
Dataset 2 Subset 1 Lasso with Standardized Features,0.40147538119982595,0.4015658698602541,1159.6075879081675,1548.3857762483253,6.871142440798963
Dataset 2 Subset 1 Elastic Net,0.24443141288720238,0.29910499531614587,1498.0812829352367,1739.7029931879342,8.76722925701277
Dataset 2 Subset 1 Elastic Net with Standardized Features,0.40147538119982595,0.4015658698602541,1159.6075879081675,1548.3857762483253,6.871142440798963
Dataset 2 Subset 1 Huber,0.2436009582549684,0.309001919191915,1151.0913833859263,1740.6587949960115,7.2841380413794745
Dataset 2 Subset 1 Huber with Standardized Features,0.452935254673025,0.4868209954927518,1048.7819408483929,1480.3265485212057,6.3598585716668525
Dataset 2 Subset 1 LinearSVR,0.2333299470758169,0.30987599722870474,1522.4610443717618,1752.436997958535,8.881349189408413
Dataset 2 Subset 1 LinearSVR with Standardized Features,0.42302596419459204,0.42306333583111455,1161.7486873666019,1520.2545042791955,6.816893474191126
Dataset 2 Subset 1 Ridge TimeSeriesSplit,0.2445459187122767,0.3002036857162734,1498.8473933953496,1739.571162882935,8.770418469377912
Dataset 2 Subset 1 Ridge with Standardized Features TimeSeriesSplit,0.40147538119982595,0.4015658698602541,1159.6075879081675,1548.3857762483253,6.871142440798963
Dataset 2 Subset 1 Lasso TimeSeriesSplit,0.24443141288720238,0.29910499531614587,1498.0812829352367,1739.7029931879342,8.76722925701277
Dataset 2 Subset 1 Lasso with Standardized Features TimeSeriesSplit,0.40147538119982595,0.4015658698602541,1159.6075879081675,1548.3857762483253,6.871142440798963
Dataset 2 Subset 1 Elastic Net TimeSeriesSplit,0.2456015936778183,0.30901666864534616,1152.2954659664308,1738.3552956465257,7.2877187222790045
Dataset 2 Subset 1 Elastic Net with Standardized Features TimeSeriesSplit,0.452935254673025,0.4868209954927518,1048.7819408483929,1480.3265485212057,6.3598585716668525
Dataset 2 Subset 1 Huber TimeSeriesSplit,0.2333299470758169,0.30987599722870474,1522.4610443717618,1752.436997958535,8.881349189408413
Dataset 2 Subset 1 Huber with Standardized Features TimeSeriesSplit,0.42302596419459204,0.42306333583111455,1161.7486873666019,1520.2545042791955,6.816893474191126
Dataset 2 Subset 2 OLS,-3501207675612.6406,-3334033287127.2773,818320557.1552559,3744959279.0439806,4843139.801278562
Dataset 2 Subset 2 OLS with Standardized Features,-1.306774233869901e+17,-1.3008125446643374e+17,141872741911.5277,723499849598.4491,822758066.0013877
Dataset 2 Subset 2 Ridge,0.559156556827599,0.5627177342586834,996.5366806922344,1328.8634507078013,5.836415903643399
Dataset 2 Subset 2 Ridge with Standardized Features,0.5401841004679317,0.5442870774802759,1001.7856650971628,1357.1572026990339,5.849572697108038
Dataset 2 Subset 2 Lasso,0.4438891772016488,0.4443760264131459,990.9343948065514,1492.5154565918453,5.984841730962186
Dataset 2 Subset 2 Lasso with Standardized Features,0.5411036519040632,0.5468259867858959,972.4982814556176,1355.799484953597,5.72522265175399
Dataset 2 Subset 2 Elastic Net,0.4438891772016488,0.4443760264131459,990.9343948065514,1492.5154565918453,5.984841730962186
Dataset 2 Subset 2 Elastic Net with Standardized Features,0.5411036519040632,0.5468259867858959,972.4982814556176,1355.799484953597,5.72522265175399
Dataset 2 Subset 2 Huber,0.33414191460128717,0.33414619952461166,914.4732994948731,1633.1610084405643,5.609255963400391
Dataset 2 Subset 2 Huber with Standardized Features,0.49761351106483276,0.4980125763821547,904.5518953864748,1418.5908011337547,5.437644873028975
Dataset 2 Subset 2 LinearSVR,0.32330248472309076,0.3269235853247414,994.0033227091884,1646.400368840466,5.995007002387426
